Subsystem Hierarchy 1	Subsystem Hierarchy 2	Subsystem Name	# Hits
Membrane Transport	ABC transporters	ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)	8
Membrane Transport	ABC transporters	ABC_transporter_branched-chain_amino_acid_(TC_3.A.1.4.1)	56
Membrane Transport	ABC transporters	ABC_transporter_dipeptide_(TC_3.A.1.5.2)	48
Membrane Transport	ABC transporters	ABC_transporter_ferrichrome_(TC_3.A.1.14.3)	4
Membrane Transport	ABC transporters	ABC_transporter_glutamine_(TC_3.A.1.3.2)	1
Membrane Transport	ABC transporters	ABC_transporter_iron(III)_dicitrate_(TC_3.A.1.14.1)	3
Membrane Transport	ABC transporters	ABC_transporter_molybdenum_(TC_3.A.1.8.1)	1
Membrane Transport	ABC transporters	ABC_transporter_oligopeptide_(TC_3.A.1.5.1)	14
Membrane Transport	ABC transporters	ABC_transporter_peptide_(TC_3.A.1.5.5)	15
Membrane Transport	ABC transporters	Transport_of_Nickel_and_Cobalt	3
Respiration	ATP synthases	F0F1-type_ATP_synthase	94
Stress Response	Acid stress	Periplasmic_Acid_Stress_Response_in_Enterobacteria	3
Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine_biosynthesis	33
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_Biosynthesis	4
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	16
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_cleavage_system	16
Amino Acids and Derivatives	Alanine, serine, and glycine	Serine_Biosynthesis	44
Carbohydrates	Aminosugars	Chitin_and_N-acetylglucosamine_utilization	66
Carbohydrates	Aminosugars	N-Acetyl-Galactosamine_and_Galactosamine_Utilization	26
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis	111
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis_extended	6
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Deiminase_Pathway	14
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	44
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	13
