GE473586	CELF5; CELF6
GE475965	GGT1; GGTLC1; GGTLC2
GE476255	SLFN11; SLFN13
GE476439	TMEM189-UBE2V1; UBE2V1
GE477402	FAM86A; FAM86B1; FAM86C
GE477413	FRG2; FRG2B; FRG2C
GE477570	HEATR1; LGALS8
GE477918	TAS2R31; TAS2R43; TAS2R46
GE479776	HOXA6; HOXA7; HOXB5
GE480384	LCE2B; LCE2C; LCE2D
GE480630	FAM127A; FAM127C
GE483286	OR4M1; OR4M2
GE483668	HOXA5; HOXA6; HOXA7; HOXB5
GE485366	OR6B2; OR6B3
GE486534	ACVR2A; ORC4
GE487345	SPACA5; SPACA5B
GE488523	KCNRG; TRIM13
GE493387	OR5H1; OR5H14; OR5H15
GE493475	ACACA; ACBD5; GPR82; METTL6; TMX1; YTHDC1; ZNF785
GE494259	XKRY; XKRY2
GE495306	ZNF626; ZNF737
GE496408	USP17; USP17L2
GE497134	ASPH; CLVS1
GE499149	DNASE1L1; RPL10
GE500484	CLEC2D; NPM1
GE500515	CTAGE15P; CTAGE4; CTAGE6P; CTAGE9
GE502804	HLA-B; HLA-C; HLA-E
GE504567	CST1; CST2; CST4
GE504811	HIST1H2AB; HIST1H2AG; HIST1H2AI; HIST1H2AJ
GE505003	TUBA1A; TUBA1B; TUBA1C; TUBA4A
GE505813	SPRR2A; SPRR2B
GE506328	MYO18A; TIAF1
GE507366	OR2J2; OR2J3
GE510478	KIR2DL1; KIR2DL2; KIR2DL3; KIR2DS5; KIR3DL2
GE511294	GRM2; GRM6
GE511908	SFTPA1; SFTPA2
GE512442	CASP8; HTR3B
GE512600	OR11H1; OR11H12; OR11H2
GE513273	KIR2DL1; KIR2DL2; KIR2DL3; KIR2DL4; KIR2DL5A; KIR2DL5B; KIR2DS5; KIR3DL1; KIR3DL2; KIR3DL3; KIR3DS1
GE514443	ZNF493; ZNF680
GE514602	ZNF561; ZNF562
GE517937	PRAMEF1; PRAMEF13; PRAMEF14; PRAMEF2
GE517991	POM121; POM121C
GE518649	ZNF141; ZNF695; ZNF92
GE519992	SPDYE1; SPDYE2; SPDYE2L; SPDYE5; SPDYE6
GE520119	ERCC1; PDE4C
GE522680	ROPN1; ROPN1B
GE525032	CHRAC1; CHST6; CYP4V2; EPHA10; PAG1; SPCS3; TRPM7; ZNF621
GE525926	PTPN20A; PTPN20B
GE526131	TGIF2LX; TGIF2LY
GE526818	PGLYRP3; PGLYRP4
GE527787	MAGEC1; MAGEC3
GE530134	PCDHA13; PCDHA4
GE530358	MYH1; MYH2; MYH4; MYH8
GE530493	LOC653486; SCGB1C1
GE530730	CST1; CST2; CST4
GE53090	C12orf29; CEP290
GE53097	DAAM2; MOCS1
GE531346	MYEF2; SLC24A5
GE53165	C6orf174; KIAA0408
GE53185	PREPL; SLC3A1
GE53201	DHX15; POGZ
GE53255	SARM1; SLC46A1
GE53298	FAM21A; FAM21B; FAM21C
GE53352	AATK; BAIAP2; CHL1
GE534265	GOLGA6L1; GOLGA6L6
GE53469	CLCC1; GPSM2
GE534836	OR2C3; OR2G2
GE53583	MTMR7; VPS37A
GE53602	AKAP2; PALM2-AKAP2
GE53657	FAN1; MTMR10
GE53685	ZNF107; ZNF681
GE53980	CHRNE; MINK1
GE53984	ACSM2A; ACSM2B
GE540077	TMED7; TMED7-TICAM2
GE54026	VCY; VCY1B
GE54027	CDY1; CDY1B; CDY2A; CDY2B
GE54064	TUBA3C; TUBA3D; TUBA3E
GE540643	FMNL3; PRPF40B
GE54121	APITD1; CORT
GE54124	PPAP2A; SKIV2L2
GE541560	TUBA1A; TUBA1C
GE541622	DFFA; DUXA; FAM63B; LOC642587; NHLRC1; NOS3
GE54165	EIF3G; P2RY11
GE541853	PAGE2; PAGE2B
GE542153	CT45A1; CT45A2; CT45A3; CT45A4; CT45A5; CT45A6
GE54234	P2RY11; PPAN-P2RY11
GE54305	C2orf27A; NBEA
GE543267	RPL10; RPL10L
GE543435	TUBA3C; TUBA3D; TUBA3E
GE543678	FAM58A; FAM58B
GE543941	UTP14A; UTP14C
GE54400	AMACR; FERMT1
GE545308	FAM59B; LTB4R
GE545429	C19orf29; RNASE4
GE545565	KRTAP9-2; KRTAP9-8
GE545780	PRR20A; PRR20B; PRR20C; PRR20D; PRR20E
GE54591	CCDC73; EIF3M
GE545942	OR1D2; OR5D14; OR5L1; OR5L2
GE546209	PRAMEF1; PRAMEF13; PRAMEF14; PRAMEF2
GE546334	CT47A1; CT47A10; CT47A11; CT47A2; CT47A3; CT47A4; CT47A5; CT47A6; CT47A7; CT47A8; CT47A9; CT47B1
GE547248	OR2H1; OR2H2
GE547757	OR2T12; OR2T33; OR2T8
GE54785	SPANXA1; SPANXA2; SPANXB1; SPANXB2; SPANXC; SPANXD; SPANXE; SPANXF1
GE54821	TNFSF12-TNFSF13; TNFSF13
GE548275	PCDHB11; PCDHB15; PCDHB9
GE549108	TPTE; TPTE2
GE54943	SIGLEC12; SIGLEC7
