"SEEDlevel1"	"BMS8"	"BMS10"	"BMS16"	"BF3"	"BF4"	"BF6"	"FF2"	"FF3"	"FF7"	"FF13"	"FF15"	"FF5"	"BMS8.1"	"BMS10.1"	"BMS16.1"	"BF3.1"	"BF4.1"	"BF6.1"	"FF2.1"	"FF3.1"	"FF7.1"	"FF13.1"	"FF15.1"	"FF5.1"
"Membrane Transport"	0.0198503493908849	0.0210847504114098	0.0187690049281745	0.0195400450305564	0.0231083153544228	0.0157847878919127	0.0271189990052877	0.0205219072164948	0.0314072531667534	0.0329231878088962	0.0273545585093342	0.0259857413065619	321	615	358	729	889	656	518	637	543	1279	781	893
"Respiration"	0.0211489703790737	0.0348326933625891	0.0279437978399916	0.0233461992066045	0.0181175430844012	0.0310402078972064	0.0174336422176849	0.0200386597938144	0.0141130198392041	0.033129118616145	0.0235368288326153	0.0137931034482759	342	1016	533	871	697	1290	333	622	244	1287	672	474
"Stress Response"	0.0160163255209944	0.0174163466812946	0.0209709552270106	0.0196204567385011	0.0104754230459307	0.0260352751509902	0.0142924454217057	0.0162693298969072	0.0100642026722193	0.026668039538715	0.016076494693706	0.0123672341044668	259	508	400	732	403	1082	273	505	174	1036	459	425
"Amino Acids and Derivatives"	0.102714736256261	0.100418266593527	0.0899653979238754	0.102766162753297	0.111980452808609	0.0804639187660916	0.100570650751270	0.0975193298969072	0.103707559720053	0.0997219934102142	0.101327449126125	0.101498617779718	1661	2929	1716	3834	4308	3344	1921	3027	1793	3874	2893	3488
"Carbohydrates"	0.167089233813617	0.189591332967636	0.174845339205201	0.167470783746113	0.157547243378129	0.173199547631079	0.160933982514005	0.194845360824742	0.167331829486957	0.211516680395387	0.172148085881405	0.162665502691692	2702	5530	3335	6248	6061	7198	3074	6048	2893	8217	4915	5590
"Secondary Metabolism"	0.000247356378702616	0.000411409764125069	0.000576701268742791	0.00241235123834030	5.19872111460581e-05	0.000529367886619024	0.00094235903879378	0.000289948453608247	0.000289201226213199	0.00241968698517298	0.00101572624426465	0.00136767059508221	4	12	11	90	2	22	18	9	5	94	29	47
"Clustering-based subsystems"	0.115639107043473	0.109195008228195	0.132117017930167	0.116570172617133	0.127238699279977	0.0982218051444934	0.129050835034815	0.124194587628866	0.143328127711261	0.097765650741351	0.126055129417534	0.129521315291721	1870	3185	2520	4349	4895	4082	2465	3855	2478	3798	3599	4451
"Cofactors, Vitamins, Prosthetic Groups, Pigments"	0.0475542638055779	0.0528318705430609	0.0453496906784104	0.0415996569100461	0.0607210626185958	0.0386679178998532	0.0474844248992199	0.05	0.0514778182659494	0.0428593492586491	0.0513467128997233	0.052437072602939	769	1541	865	1552	2336	1607	907	1552	890	1665	1466	1802
"Cell Wall and Capsule"	0.0471213901428483	0.0574602303894679	0.0556778861277131	0.0413316178835638	0.0425515323230485	0.0456459491325585	0.0458091199413643	0.0416237113402062	0.0450575510440164	0.0355488056013180	0.0418899513151904	0.0405063291139241	762	1676	1062	1542	1637	1897	875	1292	779	1381	1196	1392
"Cell Division and Cell Cycle"	0.0158308082369674	0.0169020844761382	0.0182447310474992	0.0136967942532433	0.0191053000961763	0.0126807671021921	0.0188995340558086	0.0169136597938144	0.0238880212852103	0.0129478995057661	0.0210850758292179	0.0218536301469518	256	493	348	511	735	527	361	525	413	503	602	751
