name	log.BF.FF.2.	p	q	log.BF.2.	log.FF.2.	T00346116_FF11_1.TXT	T00346118_FF5_1.TXT	T00346121_FF2_1.TXT	T00346125_FF3_1.TXT	T00346128_FF13_1.TXT	T00346130_FF12_1.TXT	T00346131_FF15_1.TXT	T00346132_FF14_1.TXT	T00346135_FF7_1.TXT	T00346114_BF5_1.TXT	T00346115_BF1_1.TXT	T00346119_BF4_1.TXT	T00346120_BF8_1.TXT	T00346127_BF3_1.TXT	T00346129_BF10_1.TXT	T00346133_BF7_1.TXT	T00346134_BF6_1.TXT	T00346113_BMS2_1.TXT	T00346117_BMS16_1.TXT	T00346122_BMS8_1.TXT	T00346126_BMS3_1.TXT	T00346136_BMS10_1.TXT
IFITM3	-0.066517146	0.739845033	0.550764603	6.710776406	6.777293551	6.594075957	6.836715326	5.827003935	6.945285557	6.937847671	6.937976829	7.154166292	6.901036418	6.861533974	7.576717795	6.305809802	6.897023293	6.427288078	6.634696947	6.723556281	6.85506536	6.639819183	6.51676273	7.039239408	6.729372443	6.743119823	6.151622128
HSPB1	1.726304388	0.200539531	0.206722445	8.080047366	6.353742978	5.515833897	5.658676068	5.329198115	5.552345567	5.687301773	6.631186431	10.20885689	6.905265826	5.695022229	11.20941995	9.197701361	8.255740829	5.598030612	10.40791084	5.859165914	10.20119878	5.033154309	5.243683292	5.380881406	11.27712102	8.890949256	8.485658177
ITGB5	0.159896345	0.667686437	0.528875004	6.157023408	5.997127062	5.887588719	5.957801074	6.063749202	5.739005296	6.362574216	5.977318407	6.224546399	6.705109922	5.056450327	6.356949887	5.732664804	5.531963064	6.236302875	6.041427689	5.97427902	6.001909942	5.659385409	9.242106336	5.961260815	6.185488742	5.700597442	5.416968274
NOTCH2	1.174830614	0.121590837	0.231883011	7.243139986	6.068309372	5.944898303	5.232543454	6.245092528	6.118106844	5.021276563	6.467158126	8.056880483	6.264927891	5.263900157	11.74001297	5.435463089	7.109139782	5.050352738	7.772880793	5.807934673	9.384635384	5.151245266	5.580355959	7.61724012	9.635510982	7.413607905	6.462440156
VWF	-0.456317472	0.135269521	0.202615806	5.594949506	6.051266978	5.678833394	5.514212708	5.770624233	5.673024829	6.292666912	6.208132181	6.34857516	6.715083501	6.260249883	6.035071713	5.301640306	6.125957502	5.909193477	5.013451935	6.100551821	5.971925622	5.860735539	5.375382428	5.239272646	6.05121162	4.734382882	5.015566081
ANXA8	-0.249460378	0.041184569	0.210086709	5.851462279	6.100922657	5.629377432	5.978443309	6.174028644	6.022583137	6.364564757	5.870818051	6.252953875	6.398691429	6.21684328	6.26128757	5.608478294	5.401251862	6.281957575	5.939660695	6.100579794	5.815454778	6.014353212	5.941899967	5.362256516	6.270451835	5.552529178	5.518848351
SLAMF7	-0.086609673	0.196647399	0.554204225	5.852008708	5.938618381	4.990937142	6.293723432	4.949385706	5.865818799	6.032338244	6.127614311	6.670346864	6.324607484	6.19279345	6.146659857	6.795670183	5.724278226	5.819361122	5.981072191	5.863058959	5.934476442	5.589555294	5.988389324	5.997414158	5.137102058	5.894380901	5.204694492
TFPI	-0.027283924	0.456276667	0.600737148	7.884479189	7.911763112	7.735830818	8.138057148	7.553930377	7.936310351	7.390230719	8.039238172	8.199830439	8.182179262	8.030260725	7.80502142	7.572751973	7.848458321	7.816433496	7.927193614	8.162045515	9.077299256	7.509910046	8.241922781	7.134837738	8.142638449	7.491674066	7.768042777
CD96	0.166366922	0.572348328	0.3740328	6.007890217	5.841523295	5.704210485	6.059570655	5.407629789	6.198161966	5.481007394	5.972278849	6.40976502	5.686125862	5.654959634	6.669413856	5.567927781	5.638179381	5.907719731	6.296034971	6.036578253	6.072027318	6.230385549	5.464382632	5.892637393	6.585031663	6.315554008	5.426700282
IL17B	-0.385068192	0.021799932	0.202615806	8.252739061	8.637807253	8.277824366	8.446696272	8.523045381	8.590171079	9.138527249	8.759369797	8.646890861	8.731723654	8.626016617	7.851418972	7.882235121	8.58946362	7.891431595	7.979073208	9.47854344	8.839581365	8.3142385	8.207637967	8.220049808	8.016298729	7.497578651	8.518056819
IL27RA	0.290464444	0.875276731	0.41119902	6.610830805	6.320366362	6.946096207	7.32678082	6.198805994	6.025972989	5.929014996	5.677462932	6.308027518	6.392115098	6.079020702	7.24428118	6.429106249	7.268088241	6.206442519	6.194137383	7.088072759	9.185255063	5.269765489	5.747624593	6.023316289	7.153814746	5.813594187	6.317301773
NKTR	0.344708598	0.446222826	0.351692887	6.144960722	5.800252124	4.799491872	5.690490114	5.110855927	6.187061335	5.386726315	5.644477759	6.76696867	5.869365801	6.746831321	7.486590065	6.147127801	4.935811592	6.085323382	6.220403931	5.711072792	6.546150111	5.322021686	7.369838407	5.685795777	6.446991008	6.395318861	5.532043972
STAT2	-0.401869735	0.05256794	0.202615806	6.279749626	6.68161936	6.411085559	6.803391491	6.584219199	6.866975136	6.559259985	6.843063699	7.223738319	6.232011813	6.610829044	6.464116163	6.483881983	6.403503829	6.591029494	6.487463022	6.054602406	6.765907639	6.324079226	6.345867708	6.101455701	6.391440117	6.521163517	4.702234332
AIM2	0.01979457	0.467911808	0.610521274	6.27242104	6.252626469	6.093990182	5.721108583	6.279588915	6.526770506	6.829202979	6.579749341	6.53526479	5.539129263	6.168833665	6.585727953	5.914754287	6.220757315	6.381932309	6.265917171	6.465106444	6.40210638	6.168905247	6.197326751	6.211545734	6.212261496	6.26961786	6.245514568
PLAU	0.053475862	0.157631421	0.621569919	6.85506707	6.801591208	6.943136656	5.464225192	5.520761227	4.574138814	5.657681218	9.068627573	9.795873811	8.605203706	5.58467267	6.830317998	5.462333017	8.979569669	4.717849411	5.976888398	5.296781888	6.976910777	5.217533899	5.226007594	9.985844812	7.839040928	8.315863449	8.290930062
IFIT1	0.909543783	0.058589307	0.207134017	6.189141846	5.279598064	5.38404728	5.167168474	4.510979641	4.947012332	5.144334937	5.422237726	7.162899504	4.729660245	5.048042435	7.84011416	5.214960869	5.888950073	4.394637841	5.850419308	5.197747248	5.966404762	5.124336838	4.965259853	7.551548341	8.57068609	6.24950307	7.64427555
PDGFRA	-0.150873329	0.143794569	0.271122906	6.622188775	6.773062104	6.60532547	7.008140098	6.42945141	6.696704358	6.50719835	6.965111433	7.005973718	6.728664939	7.010989158	6.725814031	6.604306164	6.560026199	6.615861551	6.885263377	6.786277304	6.711040144	6.69469127	6.950200145	6.345767312	6.576434093	6.496017208	6.136755282
GAB1	-0.639676181	0.002766695	0.000191926	7.475175625	8.114851806	7.96407802	8.176766735	7.950330364	8.132388363	8.073971234	8.235413263	8.092143461	8.141938104	8.266636706	7.988657521	7.401586058	7.375741612	7.451560754	7.387792871	7.496672201	7.241109843	7.663866291	7.606477564	7.535959469	7.730247905	7.50136542	6.796245616
AHSG	0.237800958	0.148417062	0.270142003	7.009385514	6.771584556	6.84796239	6.687755436	6.538514398	6.569054138	6.891467495	6.786747499	6.670305497	7.20400094	6.748453212	7.218532842	6.605618919	6.978188557	8.127559341	7.346209356	7.210992864	6.985274682	6.62883356	7.167332785	7.342536997	6.553891451	6.203033989	6.75400634
LRRC57	0.039133031	0.371628626	0.596165497	6.031832333	5.992699302	6.115311428	5.419506555	5.630850472	6.370116276	5.815844315	6.139511417	6.560962511	6.528160053	5.354030696	5.590830856	6.298131509	6.114059057	5.947666079	6.231164333	6.02035008	5.472395863	6.18689026	6.03911598	6.167068155	5.440852928	6.506094309	6.399200922
