Protein name,Official Gene Name,codelink
#Toll-Like Receptors,,
Toll-like receptor 1,TLR1,1
Toll-like receptor 2,TLR2,1
Toll-like receptor 3,TLR3,1
Toll-like receptor 4,TLR4,1
Toll-like receptor 5,TLR5,1
Toll-like receptor 6,TLR6,1
Toll-like receptor 7,TLR7,1
Toll-like receptor 8,TLR8,1
Toll-like receptor 9,TLR9,1
Toll-like receptor 10,TLR10,1
Monocyte differentiation antigen CD14,CD14,1
#Other bug binder-responders,,
Antigen-presenting glycoprotein CD1d,CD1D,1
Peptidoglycan recognition protein 1,PGLYRP1,1
N-acetylmuramoyl-L-alanine amidase,PGLYRP2,1
Peptidoglycan recognition protein 3,PGLYRP3,0
Peptidoglycan recognition protein 4,PGLYRP4,1
Lymphocyte antigen 96,LY96,1
Cytochrome b-245 heavy chain,CYBB,1
"Nitric oxide sythase, inducible",NOS2,1
Cathelicidin antimicrobial peptide,CAMP,1
#NOD-like Receptors,,
MHC class II transactivator,CIITA,1
NLR family member X1,NLRX1,0
Baculoviral IAP repeat-containing protein 1,NAIP,1
"NACHT, LRR and PYD domains-containing protein 14",NLRP14,0
Protein NLRC5,NLRC5,1
Protein NLRC3,NLRC3,1
Nucleotide-binding oligomerization domain-containing protein 1,NOD1,1
Nucleotide-binding oligomerization domain-containing protein 2,NOD2,1
"NACHT, LRR and PYD domains-containing protein 10",NLRP10,0
"NACHT, LRR and PYD domains-containing protein 11",NLRP11,0
"NACHT, LRR and PYD domains-containing protein 12",NLRP12,0
"NACHT, LRR and PYD domains-containing protein 13",NLRP13,0
"NACHT, LRR and PYD domains-containing protein 1",NLRP1,0
"NACHT, LRR and PYD domains-containing protein 2",NLRP2,0
"NACHT, LRR and PYD domains-containing protein 3",NLRP3,0
"NACHT, LRR and PYD domains-containing protein 4",NLRP4,0
"NACHT, LRR and PYD domains-containing protein 5",NLRP5,0
"NACHT, LRR and PYD domains-containing protein 6",NLRP6,0
"NACHT, LRR and PYD domains-containing protein 7",NLRP7,0
"NACHT, LRR and PYD domains-containing protein 8",NLRP8,0
"NACHT, LRR and PYD domains-containing protein 9",NLRP9,0
#RIG-I-like receptor,,
Probable ATP-dependent RNA helicase DDX58,DDX58,1
Interferon-induced helicase C domain-containing protein,IFIH1,1
#C-Type Receptors,,
C-type lectin domain family 7 member A,CLEC7A,1
C-type lectin domain family 6 member A,CLEC6A,0
Collectin-12,COLEC12,1
Collectin-10,COLEC10,1
Collectin-11,COLEC11,1
#AIM-like Receptors,,
Interferon-inducible protein AIM2,AIM2,1
Gamma-interferon-inducible protein 16,IFI16,1
#Autophagy,,
Autophagy-related protein 16-1,ATG16L1,1
Immunity-related GTPase family M protein,IRGM,1
Toll/interleukin-1 receptor domain-containing adaptor protein,TIRAP,1
#Inflammatory Cytokines,,
Interleukin-1 beta,IL1B,1
Interleukin-18,IL18,1
Interleukin-1 receptor type 1,IL1R1,1
Interleukin-1 receptor type 2,IL1R2,1
Interferon gamma,IFNG,1
Interleukin-6,IL6,1
Interleukin-8,IL8,1
Interleukin-10,IL10,1
Interleukin-12 subunit beta,IL12B,1
Interleukin-12 subunit alpha,IL12A,1
Interleukin-17A,IL17A,1
Interleukin-17F,IL17F,1
Interleukin-23 subunit alpha,IL23A,1
Tumor necrosis factor,TNF,1
Transforming growth factor beta-1,TGFB1,1
Transforming growth factor beta-2,TGFB2,1
Transforming growth factor beta-3,TGFB3,1
Granulocyte-macrophage colony-stimulating factor,CSF2,1
C-C motif chemokine 2,CCL2,0
Growth-regulated alpha protein,CXCL1,1
Caspase-1,CASP1,1
Inactive caspase-12,CASP12,0
Single Ig IL-1-related receptor,SIGIRR,1
Asc-type amino acid transporter 1,SCL7A10,1
Thymic stromal lymphopoietin,TSLP,1
Prostaglandin E synthase 2,PTGES2,1
Prostaglandin E synthase 3,PTGES3,1
B-cell antigen receptor complex-associated protein alpha chain,CD79A,1
Toll-interacting protein,TOLLIP,1
Interleukin-1 receptor-associated kinase-like 2,IRAK2,1
Myeloid differentiation primary response protein MyD88,MYD88,1
Interleukin-1 family member 5,IL1F5,1
Interleukin-1 family member 6,IL1F6,1
Interleukin-1 family member 7,IL1F7,1
Interleukin-1 family member 8,IL1F8,1
Interleukin-1 family member 9,IL1F9,1
Interleukin-1 family member 10,IL1F10,1
#Transcription Factors,,
Nuclear factor Nf-kappa-B p105 subunit,NFKB1,1
Nuclear factor Nf-kappa-B p100 subunit,NFKB2,1
Transcription factor p65,RELA,1
Caspase recruitment domain-containing protein 8,CARD8,1
Caspase recruitment domain-containing protein 9,CARD9,1
Signal transducer and activator of transcription 3,STAT3,1
#Defensins & Adhesion Factors,,
Neutrophil defensin 1,DEFA1,0
Neutrophil defensin 3,DEFA3,0
Neutrophil defensin 4,DEFA4,1
Defensin-5,DEFA5,1
Defensin-6,DEFA6,1
Regenerating islet-derived protein 3-gamma,REG3G,1
Carcinoembryonic antigen-related cell adhesion molecule 6,CEACAM6,1
Endoplasmin,HSP90B1,1
Beta-defensin 1,DEFB1,1
Beta-defensin 103,DEFB103A,1
Beta-defensin 104,DEFB104A,1
Beta-defensin 105,DEFB105A,1
Beta-defensin 106,DEFB106A,1
Beta-defensin 107,DEFB107A,0
Beta-defensin 103,DEFB103A,1
Beta-defensin 104,DEFB104B,1
Beta-defensin 105,DEFB105B,1
Beta-defensin 106,DEFB106B,1
Beta-defensin 107,DEFB107B,0
Beta-defensin 108B,DEFB108B,1
Putative beta-defensin 108A,DEFB108P1,0
Beta-defensin 109,DEFB109,0
Beta-defensin 110,DEFB110,0
Beta-defensin 112,DEFB112,0
Beta-defensin 113,DEFB113,0
Beta-defensin 114,DEFB114,1
Beta-defensin 115,DEFB115,1
Beta-defensin 116,DEFB116,1
Beta-defensin 118,DEFB118,1
Beta-defensin 119,DEFB119,1
Beta-defensin 121,DEFB121,0
Beta-defensin 123,DEFB123,1
Beta-defensin 124,DEFB124,1
Beta-defensin 125,DEFB125,1
Beta-defensin 126,DEFB126,0
Beta-defensin 127,DEFB127,1
Beta-defensin 128,DEFB128,0
Beta-defensin 129,DEFB129,1
Beta-defensin 130,DEFB130,0
Beta-defensin 131,DEFB131,0
Beta-defensin 132,DEFB132,0
Beta-defensin 133,DEFB133,0
Beta-defensin 134,DEFB134,0
Beta-defensin 135,DEFB135,0
Beta-defensin 136,DEFB136,0
#Monocarboxylic Acid Transporters,,
Free fatty acid receptor 3,FFAR3,1
Free fatty acid receptor 2,FFAR2,1
Malignant T cell-amplified sequence 1,MCTS1,1
Monocarboxylate transporter 1,SLC16A1,1
G-protein coupled receptor 190A,GPR109A,0
G-protein coupled receptor 120,GPR120,0
Sodium-coupled monocarboxylate transporter 1,SLC5A8,1
Solute carrier family 15 member 1,SLC15A1,1
Solute carrier family 22 member 5,SLC22A5,1
#Host Molecular Switching,,
Catenin beta-1,CTNNB1,1
Rho GTPase-activating protein 1,ARHGAP1,1
Rho GTPase-activating protein 4,ARHGAP4,1
Rho GTPase-activation protein 5,ARHGAP5,1
Rho GTPase-activation protein 6,ARHGAP6,1
Rho GTPase-activation protein 7,DLC1,1
Rho GTPase-activation protein 8,ARHGAP8,0
Rho GTPase-activation protein 9,ARHGAP9,1
Rho GTPase-activation protein 10,ARHGAP10,1
Rho GTPase-activation protein 12,ARHGAP12,1
Rho GTPase-activation protein 15,ARHGAP15,1
Rho GTPase-activation protein 17,ARHGAP17,1
Rho GTPase-activation protein 18,ARHGAP18,1
Rho GTPase-activation protein 19,ARHGAP19,1
Rho GTPase-activation protein 20,ARHGAP20,1
Rho GTPase-activation protein 21,ARHGAP21,1
Rho GTPase-activation protein 22,ARHGAP22,1
Rho GTPase-activation protein 23,ARHGAP23,1
Rho GTPase-activation protein 24,ARHGAP24,1
