Protein name,Official Gene Name
#Toll-Like Receptors,
CD180,CD180
#Pathogen-Specific Responses,
FOS,FOS
HRAS,HRAS
IRAK1,IRAK1
HMGB1,HMGB1
HSPA1A,HSPA1A
JUN,JUN
LTA,LTA
LY86,LY86
NFKBIA,NFKBIA
RIPK2,RIPK2
TNFRSF1A,TNFRSF1A
TICAM1,TICAM1
EIF2AK2,EIF2AK2
IFNB1,IFNB1
IRF3,IRF3
PRKRA,PRKRA
TBK1,TBK1
CLEC4E,CLEC4E
#TLR Signalling,
SARM1,SARM1
MAP3K7IP1,MAP3K7IP1
NR2C2,NR2C2
PELI1,PELI1
TICAM2,TICAM2
TRAF6,TRAF6
MAP3K7 ,MAP3K7 
#Downstream Pathways and Target Genes:,
#NFkB Pathway,
BTK,BTK
CASP8,CASP8
CHUK,CHUK
ECSIT,ECSIT
FADD,FADD
IKBKB,IKBKB
MAP3K1,MAP3K1
MAP4K4,MAP4K4
NFKBIL1,NFKBIL1
NFRKB,NFRKB
PPARA,PPARA
REL,REL 
UBE2N,UBE2N
UBE2V1,UBE2V1
#JNK/p38 Pathway,
ELK1,ELK1
MAP2K3,MAP2K3
MAP2K4,MAP2K4
MAPK8,MAPK8
MAPK8IP3,MAPK8IP3
#JAK/STAT Pathway,
IL2,IL2
#Interferon Regulatory (IRF) Pathway,
CXCL10,CXCL10
IFNA1,IFNA1
IRF1,IRG1
#Cytokine-Mediated Signaling Pathway,
CSF3,CSF3
IL1B,IL1B
#Regulation of Adaptive Immunity,
CD80,CD80
CD86,CD86
HSPD1,HSPD1
#Extracellular Matrix & Cell Adhesion,
#ECM Components,
COL14A1,COL14A1
COL1A1,COL1A1
COL1A2,COL1A2
COL3A1,COL3A1
COL4A1,COL4A1
COL4A3,COL4A3
COL5A1,COL5A1
COL5A2,COL5A2
COL5A3,COL5A3
VTN,VTN
#Remodeling Enzymes,
CTSG, CTSG
CTSK,CTSK
CTSL2,CTSL2
F13A1,F13A1
F3,F3
FGA,FGA
MMP1,MMP1
MMP2,MMP2
MMP7,MMP7
MMP9,MMP9
PLAT,PLAT
PLAU,PLAU
PLG,PLG
SERPINE1,SERPINE1
TIMP1,TIMP1
#Cellular Adhesion,
CDH1,CDH1
#ITGA1,
ITGA2,ITGA2
ITGA3,ITGA3
ITGA4,ITGA4
ITGA5,ITGA5
ITGA6,ITGA6
ITGAV,ITGAV
ITGB1,ITGB1
ITGB3,ITGB3
ITGB5,ITGB5
ITGB6,ITGB6
#Cytoskeleton,
ACTA2,ACTA2
ACTC1,ACTC1
RAC1,RAC1
RHOA,RHOA
#TAGLN,
#Inflammatory Cytokines & Chemokines,
CCL7,CCL7
CD40LG,CD40LG
CXCL11,CXCL11
CXCL2,CXCL2
CXCL5,CXCL5
IL4,IL4
#Growth Factors,
ANGPT1,ANGPT1
CTGF,CTGF
EGF,EGF
FGF10,FGF10
FGF2,FGF2
FGF7,FGF7
HBEGF,HBEGF
HGF,HGF
IGF1,IGF1
MIF,MIF
PDGFA,PDGFA
TGFA,TGFA
TGFB1,TGFB1
VEGFA,VEGFA
