"category"	"permutation_test"	"BF-FF"	"BMS8"	"BMS10"	"BMS16"	"BF3"	"BF4"	"BF6"	"FF2"	"FF3"	"FF7"	"FF13"	"FF15"	"FF5"	"BMS8"	"BMS10"	"BMS16"	"BF3"	"BF4"	"BF6"	"FF2"	"FF3"	"FF7"	"FF13"	"FF15"	"FF5"	"BMS8"	"BMS10"	"BMS16"	"BF3"	"BF4"	"BF6"	"FF2"	"FF3"	"FF7"	"FF13"	"FF15"	"FF5"
"1"	"Membrane Transport - ABC transporters"	0.8929	-0.0100160679269441	153	173	97	334	402	342	200	262	189	841	292	307	0.476635514018692	0.28130081300813	0.270949720670391	0.458161865569273	0.452193475815523	0.521341463414634	0.386100386100386	0.411302982731554	0.348066298342541	0.657544956997654	0.373879641485275	0.343784994400896	0.00946138148537505	0.00593115743280307	0.00508545664255007	0.00895250348450734	0.0104494294403577	0.00822926441925937	0.0104706559865976	0.00844072164948454	0.0109318063508589	0.0216484761120264	0.0102273125284578	0.00893350792957951
"2"	"Membrane Transport - Lipoprotein sorting"	0.2727	0.0130760499496289	5	44	5	10	4	24	8	5	0	41	12	6	0.0155763239875389	0.0715447154471545	0.0139664804469274	0.0137174211248285	0.00449943757030371	0.0365853658536585	0.0154440154440154	0.00784929356357928	0	0.0320562939796716	0.0153649167733675	0.00671892497200448	0.00030919547337827	0.00150850246845858	0.000262136940337632	0.000268039026482256	0.000103974422292116	0.000577492239948026	0.000418826239463902	0.000161082474226804	0	0.00105539538714992	0.000420300514868131	0.000174596246180707
"3"	"Membrane Transport - Membrane Transport"	0.7815	0.0191490345353597	153	395	248	362	454	279	272	350	322	383	425	552	0.476635514018692	0.642276422764228	0.692737430167598	0.496570644718793	0.510686164229471	0.425304878048780	0.525096525096525	0.549450549450549	0.593001841620626	0.299452697419859	0.544174135723432	0.618141097424412	0.00946138148537505	0.0135422380691168	0.0130019922407466	0.00970301275865766	0.0118010969301552	0.0067133472893958	0.0142400921417727	0.0112757731958763	0.0186245589681300	0.0098589373970346	0.0148856432349130	0.0160628546486251
"4"	"Membrane Transport - Uni- Sym- and Antiporters"	0.0913	-0.0141448451770923	10	3	8	18	29	11	28	20	25	14	34	28	0.0311526479750779	0.0048780487804878	0.0223463687150838	0.0246913580246914	0.0326209223847019	0.0167682926829268	0.0540540540540541	0.0313971742543171	0.0460405156537753	0.0109460516028147	0.0435339308578745	0.0313549832026876	0.00061839094675654	0.000102852441031267	0.000419419104540212	0.000482470247668060	0.000753814561617842	0.000264683943309512	0.00146589183812366	0.000644329896907216	0.00144600613106600	0.000360378912685338	0.00119085145879304	0.000814782482176633
"5"	"Membrane Transport - SecY2-SecA2 specialized system"	1	0.000228623685413809	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.00137174211248285	0	0	0	0	0	0	0	0	0	0	0	2.68039026482256e-05	0	0	0	0	0	0	0	0
"6"	"Membrane Transport - Sugar Phosphotransferase Systems, PTS"	0.186	-0.00829279506636603	0	0	0	4	0	0	10	0	7	0	18	0	0	0	0	0.00548696844993141	0	0	0.0193050193050193	0	0.0128913443830571	0	0.0230473751600512	0	0	0	0	0.000107215610592902	0	0	0.000523532799329878	0	0.000404881716698479	0	0.000630450772302196	0
"7"	"Respiration - ATP synthases"	0.1077	-0.167703388296907	94	125	111	199	282	118	128	190	173	125	222	242	0.274853801169591	0.123031496062992	0.208255159474672	0.228473019517796	0.404591104734577	0.0914728682170543	0.384384384384384	0.305466237942122	0.709016393442623	0.0971250971250971	0.330357142857143	0.510548523206751	0.00581287489951147	0.0042855183763028	0.00581944007549544	0.00533397662699689	0.00733019677159419	0.00283933684641113	0.00670121983142244	0.00612113402061856	0.0100063624269767	0.00321766886326194	0.00777555952506042	0.00704204859595519
"8"	"Respiration - Electron accepting reactions"	0.3912	0.0393427267069372	91	103	74	219	39	389	65	98	19	209	120	51	0.266081871345029	0.101377952755906	0.138836772983114	0.251435132032147	0.0559540889526542	0.301550387596899	0.195195195195195	0.157556270096463	0.0778688524590164	0.162393162393162	0.178571428571429	0.107594936708861	0.00562735761548451	0.00353126714207351	0.00387962671699696	0.0058700546799614	0.00101375061734813	0.00936018672249092	0.00340296319564421	0.00315721649484536	0.00109896465961016	0.00537994233937397	0.00420300514868131	0.00148406809253601
"9"	"Respiration - Electron donating reactions"	0.0873	0.127428175169547	93	569	271	258	274	468	70	219	27	586	177	112	0.271929824561404	0.56003937007874	0.50844277673546	0.296211251435132	0.393113342898135	0.362790697674419	0.210210210210210	0.352090032154341	0.110655737704918	0.455322455322455	0.263392857142857	0.236286919831224	0.00575103580483582	0.0195076796489303	0.0142078221662997	0.0069154068832422	0.00712224792700996	0.0112610986789865	0.00366472959530915	0.00705541237113402	0.00156168662155128	0.015084431630972	0.00619943259430493	0.00325912992870653
"10"	"Respiration - Respiration"	0.5059	-0.0247943973343616	63	147	47	191	74	315	69	115	25	356	147	69	0.184210526315789	0.144685039370079	0.0881801125703565	0.219288174512055	0.106169296987088	0.244186046511628	0.207207207207207	0.184887459807074	0.102459016393443	0.276612276612277	0.21875	0.145569620253165	0.0038958629645662	0.00503976961053209	0.00246408723917374	0.00511954540581109	0.00192352681240415	0.00757958564931784	0.00361237631537616	0.00370489690721649	0.00144600613106600	0.00916392092257002	0.0051486813071346	0.00200785683107813
