Subsystem Hierarchy 1	Subsystem Hierarchy 2	Subsystem Name	# Hits
Membrane Transport	ABC transporters	ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)	20
Membrane Transport	ABC transporters	ABC_transporter_branched-chain_amino_acid_(TC_3.A.1.4.1)	109
Membrane Transport	ABC transporters	ABC_transporter_dipeptide_(TC_3.A.1.5.2)	49
Membrane Transport	ABC transporters	ABC_transporter_ferrichrome_(TC_3.A.1.14.3)	12
Membrane Transport	ABC transporters	ABC_transporter_glutamate_aspartate_(TC_3.A.1.3.4)	5
Membrane Transport	ABC transporters	ABC_transporter_glutamine_(TC_3.A.1.3.2)	2
Membrane Transport	ABC transporters	ABC_transporter_oligopeptide_(TC_3.A.1.5.1)	31
Membrane Transport	ABC transporters	ABC_transporter_peptide_(TC_3.A.1.5.5)	25
Membrane Transport	ABC transporters	Transport_of_Nickel_and_Cobalt	9
Respiration	ATP synthases	F0F1-type_ATP_synthase	183
Respiration	ATP synthases	V-Type_ATP_synthase	7
Stress Response	Acid stress	Periplasmic_Acid_Stress_Response_in_Enterobacteria	1
Virulence	Adhesion	Curli_production	1
Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine_biosynthesis	40
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_Biosynthesis	22
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	22
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_cleavage_system	51
Amino Acids and Derivatives	Alanine, serine, and glycine	Serine_Biosynthesis	93
Carbohydrates	Aminosugars	Chitin_and_N-acetylglucosamine_utilization	27
Carbohydrates	Aminosugars	N-Acetyl-Galactosamine_and_Galactosamine_Utilization	59
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis	186
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Biosynthesis_extended	15
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_Deiminase_Pathway	34
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Arginine_and_Ornithine_Degradation	76
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Polyamine_Metabolism	36
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic_amino_acid_degradation	16
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate:_Intermediate_for_synthesis_of_PAPA_antibiotics,_PABA,_anthranilate,_3-hydroxyanthranilate_and_more.	72
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate_Synthesis	115
Secondary Metabolism	Aromatic amino acids and derivatives	Cinnamic_Acid_Degradation	9
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)	55
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Phenylalanine_and_Tyrosine_Branches_from_Chorismate	16
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Phenylalanine_synthesis	16
Amino Acids and Derivatives	Aromatic amino acids and derivatives	Tryptophan_synthesis	119
Clustering-based subsystems	Biosynthesis of galactoglycans and related lipopolysacharides	CBSS-258594.1.peg.3339	59
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin_biosynthesis	47
Amino Acids and Derivatives	Branched-chain amino acids	Branched-Chain_Amino_Acid_Biosynthesis	399
Amino Acids and Derivatives	Branched-chain amino acids	Valine_degradation	5
Carbohydrates	CO2 fixation	Calvin-Benson_cycle	15
Carbohydrates	CO2 fixation	Photorespiration_(oxidative_C2_cycle)	19
Clustering-based subsystems	CRISPRs and associated hypotheticals	CBSS-216592.1.peg.3534	1
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Colanic_acid_biosynthesis	66
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Lipid_A_modifications	34
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Rhamnose_containing_glycans	25
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Sialic_Acid_Metabolism	172
Cell Wall and Capsule	Capsular and extracellular polysacchrides	dTDP-rhamnose_synthesis	62
Carbohydrates	Carbohydrates	Lacto-N-Biose_I_and_Galacto-N-Biose_Metabolic_Pathway	45
Carbohydrates	Carbohydrates	beta-glucuronide_utilization	17
Clustering-based subsystems	Cell Division	CBSS-281309.1.peg.50	216
Cell Division and Cell Cycle	Cell Division and Cell Cycle	YgjD_and_YeaZ	3
Cell Wall and Capsule	Cell Wall and Capsule	Peptidoglycan_Biosynthesis	494
Cell Wall and Capsule	Cell Wall and Capsule	Sortase	92
Cell Wall and Capsule	Cell Wall and Capsule	UDP-N-acetylmuramate_from_Fructose-6-phosphate_Biosynthesis	23
