filename,sample,Treatment
4453347_3_percentID80_cutoff97.txt,BMS8,BF
4453348_3_percentID80_cutoff101.txt,BMS10,BF
4453349_3_percentID80_cutoff97.txt,BMS16,BF
4453352_3_percentID80_cutoff99.txt,BF3,BF
4453353_3_percentID80_cutoff99.txt,BF4,BF
4453357_3_percentID80_cutoff98.txt,BF6,BF
4453358_3_percentID80_cutoff95.txt,FF2,FF
4453359_3_percentID80_cutoff100.txt,FF3,FF
4453360_3_percentID80_cutoff102.txt,FF7,FF
4453363_3_percentID80_cutoff98.txt,FF13,FF
4453367_3_percentID80_cutoff97.txt,FF15,FF
4453515_3_percentID80_cutoff99.txt,FF5,FF
