Transcript,Gene,GeneID,Cytoband,CopyNo,MappedReads,MappedLength,TranscriptLength,PrcntTranscriptCoverage,TotalMappedReads,TotalMappedLength
NM_001101.3,ACTB,60,7p22,105.6,7571,1681,1816,92.57,305394,7162405
NM_003463.3,PTP4A1,7803,6q12,17.8,2739,3610,5086,70.98,305394,7162405
NM_021104.1,RPL41,6171,12q13,132.8,2294,405,478,84.73,305394,7162405
NM_001035267.1,RPL41,6171,12q13,101.8,2292,528,593,89.04,305394,7162405
NM_002357.2,MXD1,4084,2p13-p12,8.3,1770,4983,5587,89.19,305394,7162405
NM_001130445.1,SSFA2,6744,2q31.3,8.3,1625,4579,5295,86.48,305394,7162405
NM_006751.5,SSFA2,6744,2q31.3,8.5,1623,4461,5177,86.17,305394,7162405
NM_003295.2,TPT1,7178,13q14,40.3,1361,792,829,95.54,305394,7162405
NM_004048.2,B2M,567,15q21-q22.2,32.7,1286,921,987,93.31,305394,7162405
NM_001423.2,EMP1,2012,12p12.3,29,1283,1036,2804,36.95,305394,7162405
NM_000978.3,RPL23,9349,17q,60.4,1185,460,581,79.17,305394,7162405
NM_001743.4,CALM2,805,2p21,22.2,1124,1185,1309,90.53,305394,7162405
NM_004363.2,CEACAM5,1048,19q13.1-q13.2,8.4,1076,3018,3600,83.83,305394,7162405
NM_001135700.1,YWHAZ,7534,8q23.1,9.7,1067,2590,2968,87.26,305394,7162405
NM_001135702.1,YWHAZ,7534,8q23.1,9.7,1067,2590,3036,85.31,305394,7162405
NM_001135699.1,YWHAZ,7534,8q23.1,9.7,1067,2590,3014,85.93,305394,7162405
NM_145690.2,YWHAZ,7534,8q23.1,9.7,1067,2590,3071,84.34,305394,7162405
NM_001135701.1,YWHAZ,7534,8q23.1,9.7,1067,2590,3017,85.85,305394,7162405
NM_003406.3,YWHAZ,7534,8q23.1,9.7,1067,2590,2997,86.42,305394,7162405
NM_019094.4,NUDT4,11163,12q21,9.8,1062,2550,4810,53.01,305394,7162405
NM_199040.2,NUDT4,11163,12q21,9.8,1062,2550,4813,52.98,305394,7162405
NM_001043353.1,TPM3,7170,1q21.2,25,1002,941,4539,20.73,305394,7162405
NM_001043352.1,TPM3,7170,1q21.2,25,1002,941,4539,20.73,305394,7162405
NM_001043351.1,TPM3,7170,1q21.2,25,1002,941,3212,29.3,305394,7162405
NM_153649.3,TPM3,7170,1q21.2,25,1002,941,3212,29.3,305394,7162405
