"Gene ID","GE Number","Taxa ID","Species","Kingdom","Column found"
"1","GE1071362","562","Escherichia coli","bacteria","nt.Taxa"
"1","GE1071362","562","Escherichia coli","bacteria","patnt.Taxa"
"1","GE1071362","866768","Escherichia coli BL21-Gold(DE3)pLysS AG","bacteria","nt.Taxa"
"1","GE1071362","362663","Escherichia coli 536","bacteria","nt.Taxa"
"1","GE1071362","585055","Escherichia coli 55989","bacteria","nt.Taxa"
"1","GE1071362","655817","Escherichia coli ABU 83972","bacteria","nt.Taxa"
"1","GE1071362","405955","Escherichia coli APEC O1","bacteria","nt.Taxa"
"1","GE1071362","481805","Escherichia coli ATCC 8739","bacteria","nt.Taxa"
"1","GE1071362","413997","Escherichia coli B str. REL606","bacteria","nt.Taxa"
"1","GE1071362","469008","Escherichia coli BL21(DE3)","bacteria","nt.Taxa"
"1","GE1071362","595496","Escherichia coli BW2952","bacteria","nt.Taxa"
"1","GE1071362","199310","Escherichia coli CFT073","bacteria","nt.Taxa"
"1","GE1071362","536056","Escherichia coli DH1","bacteria","nt.Taxa"
"1","GE1071362","331111","Escherichia coli E24377A","bacteria","nt.Taxa"
"1","GE1071362","316401","Escherichia coli ETEC H10407","bacteria","nt.Taxa"
"1","GE1071362","331112","Escherichia coli HS","bacteria","nt.Taxa"
"1","GE1071362","585034","Escherichia coli IAI1","bacteria","nt.Taxa"
"1","GE1071362","585057","Escherichia coli IAI39","bacteria","nt.Taxa"
"1","GE1071362","714962","Escherichia coli IHE3034","bacteria","nt.Taxa"
"1","GE1071362","591946","Escherichia coli LF82","bacteria","nt.Taxa"
"1","GE1071362","585396","Escherichia coli O111:H- str. 11128","bacteria","nt.Taxa"
"1","GE1071362","574521","Escherichia coli O127:H6 str. E2348/69","bacteria","nt.Taxa"
"1","GE1071362","444450","Escherichia coli O157:H7 str. EC4115","bacteria","nt.Taxa"
"1","GE1071362","386585","Escherichia coli O157:H7 str. Sakai","bacteria","nt.Taxa"
"1","GE1071362","544404","Escherichia coli O157:H7 str. TW14359","bacteria","nt.Taxa"
"1","GE1071362","573235","Escherichia coli O26:H11 str. 11368","bacteria","nt.Taxa"
"1","GE1071362","701177","Escherichia coli O55:H7 str. CB9615","bacteria","nt.Taxa"
"1","GE1071362","685038","Escherichia coli O83:H1 str. NRG 857C","bacteria","nt.Taxa"
"1","GE1071362","585035","Escherichia coli S88","bacteria","nt.Taxa"
"1","GE1071362","409438","Escherichia coli SE11","bacteria","nt.Taxa"
"1","GE1071362","431946","Escherichia coli SE15","bacteria","nt.Taxa"
"1","GE1071362","511145","Escherichia coli str. K-12 substr. MG1655","bacteria","nt.Taxa"
"1","GE1071362","316407","Escherichia coli str. K-12 substr. W3110","bacteria","nt.Taxa"
"1","GE1071362","869729","Escherichia coli UM146","bacteria","nt.Taxa"
"1","GE1071362","585056","Escherichia coli UMN026","bacteria","nt.Taxa"
"1","GE1071362","364106","Escherichia coli UTI89","bacteria","nt.Taxa"
